#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.visualization3d.control.MouseWheelZoom "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.MouseZoom "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.PickMouseBehavior "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.PickRotateBehavior "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.PickSphereBehavior "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.PickTranslateBehavior "UNKNOWN"
edu.uci.ics.jung.visualization3d.control.PickZoomBehavior "UNKNOWN"
edu.uci.ics.jung.visualization3d.decorators.PickableVertexPaintTransformer "UNKNOWN"
edu.uci.ics.jung.visualization3d.EdgeGroup "Tom Nelson"
edu.uci.ics.jung.visualization3d.layout.LayoutDecorator "Tom Nelson"
edu.uci.ics.jung.visualization3d.layout.LayoutEventBroadcaster "Tom Nelson"
edu.uci.ics.jung.visualization3d.PickVertexBehavior "Tom Nelson"
edu.uci.ics.jung.visualization3d.PluggableRenderContext "UNKNOWN"
edu.uci.ics.jung.visualization3d.RenderContext "UNKNOWN"
edu.uci.ics.jung.visualization3d.VertexGroup "Tom Nelson"
edu.uci.ics.jung.visualization3d.VisualizationViewer "Tom Nelson"
